"seq_number","Site","Bio_repB","Bio_repC","Bio_repA","Bio_repD","ndetections","max_Occupancy_prob","sum.taxonomy"
"merged_CO1_1001","JABOI",NA,NA,1,NA,1,0.739565895989222,"Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321"
"merged_CO1_1001","TANJUNG_KUSU_KUSU",NA,NA,1,NA,1,0.739565895989222,"Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321"
"merged_CO1_10012","PULAU_ABANG_KECIL",NA,NA,1,NA,1,0.739565895989222,"Eukaryota;Arthropoda;Insecta;Lepidoptera;Crambidae;Talanga;Talanga sexpunctalis complex sp. BOLD:AAA5292"
"merged_CO1_10015","PULAU_PETONG",NA,NA,1,NA,1,0.739565895989222,"Eukaryota;;Oomycetes;Pythiales;Pythiaceae;Pythium;"
"merged_CO1_10016","PULAU_PETONG",NA,NA,1,NA,1,0.739565895989222,""
"merged_CO1_10020","CORAL_CANYON",NA,NA,1,NA,1,0.739565895989222,""
"merged_CO1_1003","CALIFORDIA_DREAMING",NA,NA,1,NA,1,0.739565895989222,""
"merged_CO1_1003","TANJUNG_KUSU_KUSU",1,1,NA,NA,2,0.942334850412798,""
"merged_CO1_1003","WAKATOBI_2",NA,1,1,NA,2,0.942661074082989,""
"merged_CO1_10032","CAPE_KRI",NA,NA,1,NA,1,0.739565895989222,"Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Clavispora;[Candida] intermedia"
"merged_CO1_10033","CAPE_KRI",NA,NA,1,NA,1,0.739565895989222,""
"merged_CO1_10033","WEST_MANSUAR",NA,NA,1,NA,1,0.739565895989222,""
"merged_CO1_10034","KRI_LAGOON",NA,NA,1,NA,1,0.739565895989222,"Eukaryota;Chordata;Actinopteri;Chaetodontiformes;Chaetodontidae;Chaetodon;Chaetodon ulietensis"
"merged_CO1_10035","KRI_LAGOON",NA,NA,1,NA,1,0.739565895989222,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Potamotrygonidae;Taeniura;Taeniura lymma"
"merged_CO1_10036","KRI_LAGOON",NA,NA,1,NA,1,0.739565895989222,"Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Nanomia;Nanomia bijuga"
"merged_CO1_10037","KRI_LAGOON",NA,NA,1,NA,1,0.739565895989222,"Eukaryota;;;;;;"
"merged_CO1_1004","PELATAK",1,NA,1,NA,2,0.933967937718963,""
"merged_CO1_1004","SNAPPER_POINT",1,1,1,1,4,0.994751334412437,""
"merged_CO1_1005","CORAL_CANYON",1,1,1,NA,3,0.989093569113062,"Eukaryota;;;;;;"
"merged_CO1_1005","CALIFORDIA_DREAMING",1,NA,1,NA,2,0.933967937718963,"Eukaryota;;;;;;"
"merged_CO1_1005","CAPE_KRI",1,1,1,NA,3,0.989093569113062,"Eukaryota;;;;;;"
"merged_CO1_1005","KAMPUNG_PAUDEAN",NA,NA,1,NA,1,0.739565895989222,"Eukaryota;;;;;;"
"merged_CO1_1005","BENTENG",NA,NA,1,NA,1,0.739565895989222,"Eukaryota;;;;;;"
"merged_CO1_1005","SUMUR_TIGA",1,NA,1,NA,2,0.933967937718963,"Eukaryota;;;;;;"
"merged_CO1_1005","SARDINE_REEF",NA,1,1,NA,2,0.942661074082989,"Eukaryota;;;;;;"
"merged_CO1_1005","SHIP_WRECK",1,1,1,NA,3,0.989093569113062,"Eukaryota;;;;;;"
"merged_CO1_1005","TELUK_KEMBAHU",NA,NA,1,NA,1,0.739565895989222,"Eukaryota;;;;;;"
"merged_CO1_1005","TERNATE_1",NA,NA,1,NA,1,0.739565895989222,"Eukaryota;;;;;;"
"merged_CO1_1005","TERNATE_2",1,1,1,NA,3,0.989093569113062,"Eukaryota;;;;;;"
"merged_CO1_1005","WAKATOBI_3",NA,1,1,NA,2,0.942661074082989,"Eukaryota;;;;;;"
"merged_CO1_10059","KABUI_STRAIT_II",NA,NA,1,NA,1,0.739565895989222,"Eukaryota;Mollusca;Gastropoda;Stylommatophora;Pupillidae;Pupilla;Pupilla hebes"
"merged_CO1_1006","TERNATE_3",NA,NA,1,NA,1,0.739565895989222,""
"merged_CO1_10060","KABUI_STRAIT_II",NA,NA,1,NA,1,0.739565895989222,"Eukaryota;Porifera;Demospongiae;Dendroceratida;Darwinellidae;Dendrilla;Dendrilla sp. FAR-2016"
"merged_CO1_10062","KABUI_STRAIT_III",NA,NA,1,NA,1,0.739565895989222,"Eukaryota;Arthropoda;Hexanauplia;Calanoida;Centropagidae;Centropages;Centropages furcatus"
"merged_CO1_10067","PANTAI_LABUHAN",NA,NA,1,NA,1,0.739565895989222,"Eukaryota;NA;Oomycetes;Pythiales;Pythiaceae;Globisporangium;Globisporangium spinosum"
"merged_CO1_10068","PANTAI_LABUHAN",1,NA,1,NA,2,0.933967937718963,""
"merged_CO1_1007","PULAU_SEULAKO",NA,NA,1,NA,1,0.739565895989222,""
"merged_CO1_10070","PELATAK",NA,NA,1,NA,1,0.739565895989222,"Eukaryota;Echinodermata;Ophiuroidea;Ophiurida;;;"
"merged_CO1_10071","PELATAK",NA,NA,1,NA,1,0.739565895989222,"Eukaryota;;Oomycetes;;;;"
"merged_CO1_10072","PELATAK",NA,NA,1,NA,1,0.739565895989222,"Eukaryota;Bacillariophyta;Mediophyceae;Lithodesmiales;Lithodesmiaceae;Ditylum;Ditylum brightwellii"
"merged_CO1_10079","JABOI",NA,NA,1,NA,1,0.739565895989222,""
"merged_CO1_1008","PULAU_ABANG_BESAR",1,NA,1,1,3,0.969791682571166,"Eukaryota;;Oomycetes;;;;"
"merged_CO1_1008","PULAU_ABANG_KECIL",1,NA,1,NA,2,0.933967937718963,"Eukaryota;;Oomycetes;;;;"
"merged_CO1_1008","PULAU_PETONG",1,1,1,NA,3,0.989093569113062,"Eukaryota;;Oomycetes;;;;"
"merged_CO1_10080","JABOI",NA,NA,1,NA,1,0.739565895989222,"Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;Navicula ramosissima"
"merged_CO1_10081","JABOI",NA,NA,1,NA,1,0.739565895989222,""
"merged_CO1_10085","TERNATE_2",NA,NA,1,NA,1,0.739565895989222,""
"merged_CO1_1009","AER_PERANG",NA,1,1,NA,2,0.942661074082989,""
"merged_CO1_1009","BATU_ANGUS",NA,NA,1,NA,1,0.739565895989222,""
"merged_CO1_1009","CALIFORDIA_DREAMING",1,NA,1,NA,2,0.933967937718963,""
"merged_CO1_1009","CAPE_KRI",NA,NA,1,NA,1,0.739565895989222,""
"merged_CO1_1009","KAMPUNG_PAUDEAN",1,1,1,NA,3,0.989093569113062,""
"merged_CO1_1009","PANTAI_LABUHAN",NA,NA,1,NA,1,0.739565895989222,""
"merged_CO1_1009","PANTAI_PARIGI",NA,NA,1,NA,1,0.739565895989222,""
"merged_CO1_1009","TANJUNG_KUSU_KUSU",1,1,NA,NA,2,0.942334850412798,""
"merged_CO1_1009","TERNATE_3",NA,NA,1,NA,1,0.739565895989222,""
"merged_CO1_1009","WAKATOBI_2",NA,1,1,NA,2,0.942661074082989,""
"merged_CO1_101","Anitas_Garden",1,1,1,NA,3,0.989093569113062,""
"merged_CO1_101","AER_PERANG",1,1,1,NA,3,0.989093569113062,""
"merged_CO1_101","CALIFORDIA_DREAMING",1,NA,1,NA,2,0.933967937718963,""
"merged_CO1_101","CAPE_KRI",NA,1,1,NA,2,0.942661074082989,""
"merged_CO1_101","KAMPUNG_PAUDEAN",1,1,1,NA,3,0.989093569113062,""
"merged_CO1_101","KABUI_STRAIT_I",1,1,NA,NA,2,0.942334850412798,""
"merged_CO1_101","KABUI_STRAIT_III",1,1,NA,NA,2,0.942334850412798,""
"merged_CO1_101","MELISSAS_GARDEN",1,1,1,NA,3,0.989093569113062,""
