"","seq_number","sum.taxonomy"
"253","merged_CO1_8506",""
"254","merged_CO1_8507",""
"255","merged_CO1_8695","Eukaryota;NA;Haptophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina parva"
"256","merged_CO1_8696",""
"257","merged_CO1_8697","Eukaryota;Cnidaria;Anthozoa;Corallimorpharia;Discosomidae;Rhodactis;"
"258","merged_CO1_8864",""
"259","merged_CO1_8865",""
"260","merged_CO1_9245",""
"261","merged_CO1_9431",""
"262","merged_CO1_9432",""
"263","merged_CO1_9433",""
"264","merged_CO1_9628","Eukaryota;Ascomycota;Eurotiomycetes;Mycocaliciales;Mycocaliciaceae;Mycocalicium;Mycocalicium subtile"
"265","merged_CO1_10349",""
"266","merged_bio_12S_miu_1","Eukaryota;Chordata;Actinopteri;;Siganidae;Siganus;Siganus fuscescens"
"267","merged_bio_12S_miu_5",""
"268","merged_bio_12S_miu_8","Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Caesio;Caesio caerulaurea"
"269","merged_bio_12S_miu_15","Eukaryota;Chordata;Actinopteri;;Pomacentridae;Pomacentrus;Pomacentrus amboinensis"
"270","merged_bio_12S_miu_19","Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Pterocaesio;Pterocaesio digramma"
"271","merged_bio_12S_miu_20",""
"272","merged_bio_12S_miu_22",""
"273","merged_bio_12S_miu_28",""
"274","merged_bio_12S_miu_42",""
"275","merged_bio_12S_miu_87","Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx melampygus"
"276","merged_bio_12S_miu_94",""
"277","merged_bio_12S_miu_174","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"278","merged_bio_12S_miu_182","Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis;Auxis rochei"
"279","merged_bio_12S_miu_185",""
"280","merged_bio_12S_miu_267","Eukaryota;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;Bos taurus"
"281","merged_bio_12S_miu_291",""
"282","merged_bio_12S_miu_312",""
"283","merged_bio_12S_miu_394",""
"284","merged_bio_12S_miu_533",""
"285","merged_bio_12S_miu_659",""
"286","merged_bio_12S_miu_705",""
"287","merged_bio_12S_miu_995",""
"288","merged_bio_12S_miu_1024",""
"289","merged_bio_12S_miu_1036",""
"290","merged_bio_12S_miu_1117",""
"291","merged_bio_12S_miu_1148","Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx melampygus"
"292","merged_bio_12S_miu_1186","Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis;Auxis rochei"
"293","merged_bio_12S_miu_1233","Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx melampygus"
"294","merged_bio_12S_miu_1519",""
"295","merged_bio_12S_miu_1806",""
"296","merged_bio_12S_miu_1831",""
"297","merged_bio_12S_miu_1848",""
"298","merged_bio_12S_miu_1934",""
"299","merged_bio_12S_miu_1974","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"300","merged_bio_12S_miu_2140",""
"301","merged_bio_12S_miu_2187",""
"302","merged_bio_12S_miu_2206",""
"303","merged_bio_12S_miu_2207",""
"304","merged_bio_12S_miu_2242",""
"305","merged_bio_12S_miu_2243",""
